Year,DOY,Reference Name
12/04/1295,11/04/2000,(DAINIHON-SHIRYO)
05/04/1301,04/04/2000,SANEMI-KYOKI
06/04/1302,05/04/2000,ZOKU-SHIGUSHO
14/04/1307,13/04/2000,ZOKU-SHIGUSHO
04/04/1311,03/04/2000,ENTAIRYAKU
09/04/1312,09/04/2000,HANAZONOTENNO-SHINKI
11/04/1314,10/04/2000,HANAZONOTENNO-SHINKI
21/04/1315,20/04/2000,ZOKU-SHIGUSHO
12/04/1316,12/04/2000,ZOKU-SHIGUSHO
12/04/1317,11/04/2000,HANAZONOTENNO-SHINKI
26/04/1319,25/04/2000,HANAZONOTENNO-SHINKI
12/04/1321,11/04/2000,HANAZONOTENNO-SHINKI
16/04/1322,15/04/2000,HANAZONOTENNO-SHINKI
04/05/1323,03/05/2000,HANAZONOTENNO-SHINKI
07/04/1324,07/04/2000,HANAZONOTENNO-SHINKI
17/04/1326,16/04/2000,ZOKU-SHIGUSHO
22/04/1329,21/04/2000,EST-from-KJ(SHOKA-WAKASHU)
18/04/1330,17/04/2000,RINEI-WAKASHU
22/04/1331,21/04/2000,ZOKU-SHIGUSHO
24/04/1332,24/04/2000,ZOKU-HONCHOTSUKAN
20/04/1342,19/04/2000,MICHIFUYU-KYOKI
11/04/1344,11/04/2000,ZOKU-SHIGUSHO
17/04/1346,16/04/2000,ENTAIRYAKU
19/04/1347,18/04/2000,MOROMORIKI
22/04/1349,21/04/2000,ZOKU-SHIGUSHO
11/04/1350,10/04/2000,(SHIRYO-SORAN)
25/04/1351,24/04/2000,(SHIRYO-SORAN)
26/04/1356,26/04/2000,MOROMORIKI
17/04/1357,16/04/2000,ENTAIRYAKU
20/04/1358,19/04/2000,GUKANKI
15/04/1359,14/04/2000,GUKANKI
10/04/1360,10/04/2000,GUKANKI
18/04/1361,17/04/2000,GUKANKI
17/04/1363,16/04/2000,MOROMORIKI
19/04/1364,19/04/2000,MOROMORIKI
22/04/1366,21/04/2000,ZOKU-HONCHOTSUKAN
07/04/1367,06/04/2000,GUKANKI
28/03/1368,28/03/2000,GUKANKI
04/04/1369,03/04/2000,GOGUMAISHO
19/04/1370,18/04/2000,GOGUMAISHO
11/04/1372,11/04/2000,EST-from-WF(GUKANKI)
20/04/1373,19/04/2000,GUKANKI
13/04/1375,12/04/2000,GUKANKI
08/04/1376,08/04/2000,GUKANKI
15/04/1377,14/04/2000,KUJO-TADAMOTO-NIKKI
14/04/1378,13/04/2000,(SHIRYO-SORAN)
13/04/1379,12/04/2000,GUKANKI
11/04/1380,11/04/2000,EST-from-WF(ZOKU-SHIGUSHO)
18/04/1381,17/04/2000,EITOKU-GANNEN-GYOKO-SHIIKA
15/04/1382,14/04/2000,KUGE-NICHIYO-KUFU-RYAKUSHU
12/04/1383,11/04/2000,KUGE-NICHIYO-KUFU-RYAKUSHU
07/04/1384,07/04/2000,KUGE-NICHIYO-KUFU-RYAKUSHU
09/04/1385,08/04/2000,ATOKAGAMI
15/04/1386,14/04/2000,ATOKAGAMI
10/04/1387,09/04/2000,SANEFUYU-KOKI
08/04/1388,08/04/2000,KANENOBU-KOKI
16/04/1398,15/04/2000,GEIYOKI
11/04/1401,10/04/2000,ATOKAGAMI
13/04/1402,12/04/2000,YOSHIDAKE-HINAMIKI
14/04/1403,13/04/2000,YOSHIDAKE-HINAMIKI
12/04/1406,11/04/2000,(SHIRYO-SORAN)
11/04/1407,10/04/2000,(SHIRYO-SORAN)
20/04/1408,20/04/2000,ZOKU-HONCHOTSUKAN
27/03/1409,26/03/2000,(DAINIHON-SHIRYO)
12/04/1410,11/04/2000,NORITOKI-KYOKI
02/04/1412,02/04/2000,(DAINIHON-SHIRYO)
01/04/1413,31/03/2000,ATOKAGAMI
15/04/1415,14/04/2000,(DAINIHON-SHIRYO)
10/04/1416,10/04/2000,KANMON-GYOKI(FUSHIMI)
19/04/1417,18/04/2000,(DAINIHON-SHIRYO)
08/04/1418,07/04/2000,KANMON-GYOKI
10/04/1419,09/04/2000,KANMON-GYOKI(FUSHIMI)
21/04/1420,21/04/2000,KANMON-GYOKI(FUSHIMI)
09/04/1421,08/04/2000,KANMON-GYOKI(FUSHIMI)
19/04/1422,18/04/2000,YASUTOMIKI
06/04/1423,05/04/2000,KANMON-GYOKI(FUSHIMI)
12/04/1424,12/04/2000,KANMON-GYOKI(FUSHIMI)
08/04/1425,07/04/2000,KANMON-GYOKI(FUSHIMI)
09/04/1426,08/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
12/04/1427,11/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
08/04/1429,07/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
18/04/1430,17/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
12/04/1431,11/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
13/04/1432,13/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
08/04/1433,07/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
23/04/1434,22/04/2000,MANZAIJUNGO-NIKKI(DAIGO)
05/04/1435,04/04/2000,KANMON-GYOKI(FUSHIMI)
10/04/1436,10/04/2000,KANMON-GYOKI(FUSHIMI)
13/04/1437,12/04/2000,KANMON-GYOKI
09/04/1438,08/04/2000,INRYOGEN-NICHIROKU
11/04/1439,10/04/2000,INRYOGEN-NICHIROKU
07/04/1440,07/04/2000,MOROSATOKI
15/04/1441,14/04/2000,INRYOGEN-NICHIROKU
17/04/1443,16/04/2000,KANMON-GYOKI
18/04/1444,18/04/2000,YASUTOMIKI
18/04/1446,17/04/2000,GYOUKO-HOIN-NIKKI
21/04/1447,20/04/2000,SOKONSHU
05/04/1448,05/04/2000,YASUTOMIKI
05/04/1449,04/04/2000,ZOKU-HONCHOTSUKAN
10/04/1450,09/04/2000,YASUTOMIKI
13/04/1451,12/04/2000,YASUTOMIKI
01/04/1452,01/04/2000,ZOKU-SHIGUSHO
17/04/1453,16/04/2000,SOKONSHU
15/04/1454,14/04/2000,SOKONSHU
06/04/1455,05/04/2000,GAUN-NIKKENROKU-BATSUYU
15/04/1456,15/04/2000,MOROSATOKI
15/04/1457,14/04/2000,ZOKU-HONCHOTSUKAN
22/04/1458,21/04/2000,INRYOGEN-NICHIROKU
23/04/1459,22/04/2000,INRYOGEN-NICHIROKU
20/04/1460,20/04/2000,INRYOGEN-NICHIROKU
16/04/1461,15/04/2000,INRYOGEN-NICHIROKU
16/04/1462,15/04/2000,INRYOGEN-NICHIROKU
11/04/1463,10/04/2000,INRYOGEN-NICHIROKU
13/04/1464,13/04/2000,INRYOGEN-NICHIROKU
08/04/1465,07/04/2000,INRYOGEN-NICHIROKU
15/04/1466,14/04/2000,INRYOGEN-NICHIROKU
11/04/1467,10/04/2000,EST-from-WF(GOHOKOINKI)
10/04/1468,10/04/2000,HEKIZAN-NICHIROKU
23/04/1472,23/04/2000,CHIKANAGA-KYOKI
08/04/1474,07/04/2000,ENROKUCHOKASHU
09/04/1476,09/04/2000,SANETAKA-KOKI
20/04/1477,19/04/2000,OYUDONONO-UENO-NIKKI
25/04/1478,24/04/2000,SANETAKA-KOKI
20/04/1479,19/04/2000,SANETAKA-KOKI
13/04/1480,13/04/2000,OYUDONONO-UENO-NIKKI [EDA]
16/04/1481,15/04/2000,SANETAKA-KOKI
18/04/1482,17/04/2000,OYUDONONO-UENO-NIKKI
11/04/1483,10/04/2000,OYUDONONO-UENO-NIKKI
06/04/1484,06/04/2000,OYUDONONO-UENO-NIKKI
04/04/1485,03/04/2000,OYUDONONO-UENO-NIKKI
09/04/1486,08/04/2000,OYUDONONO-UENO-NIKKI
03/04/1487,02/04/2000,SANETAKA-KOKI
12/04/1488,12/04/2000,OYUDONONO-UENO-NIKKI
10/04/1489,09/04/2000,(SHIRYO-SHORAN)
07/04/1490,06/04/2000,INRYOGEN-NICHIROKU
17/04/1491,16/04/2000,SANETAKA-KOKI
17/04/1492,17/04/2000,OYUDONONO-UENO-NIKKI
10/04/1493,09/04/2000,OYUDONONO-UENO-NIKKI
16/04/1494,15/04/2000,OYUDONONO-UENO-NIKKI
04/04/1495,03/04/2000,OYUDONONO-UENO-NIKKI
06/04/1496,06/04/2000,OYUDONONO-UENO-NIKKI
18/04/1497,17/04/2000,CHIKANAGA-KYOKI
07/04/1498,06/04/2000,OYUDONONO-UENO-NIKKI
21/04/1499,20/04/2000,OYUDONONO-UENO-NIKKI
07/04/1500,06/04/2000,OYUDONONO-UENO-NIKKI
13/04/1501,12/04/2000,SANETAKA-KOKI
25/04/1502,24/04/2000,NOBUTANE-KYOKI
18/04/1503,17/04/2000,SANETAKA-KOKI
23/04/1504,23/04/2000,SANETAKA-KOKI
16/04/1505,15/04/2000,NISUIKI
16/04/1506,15/04/2000,MOTONAGA-KYOKI
18/04/1507,17/04/2000,MOTONAGA-KYOKI
20/04/1508,20/04/2000,SANETAKA-KOKI
12/04/1509,11/04/2000,SANETAKA-KOKI
20/04/1510,19/04/2000,SANETAKA-KOKI
21/04/1511,20/04/2000,SANETAKA-KOKI
18/04/1512,18/04/2000,SANETAKA-KOKI
20/04/1513,19/04/2000,SANETAKA-KOKI
15/04/1514,14/04/2000,MORIMITSU-KOKI
21/04/1515,20/04/2000,SAISHOSO
13/04/1516,13/04/2000,SAISHOSO
16/04/1517,15/04/2000,NISUIKI
25/04/1518,24/04/2000,NISUIKI
21/04/1519,20/04/2000,NISUIKI
14/04/1520,14/04/2000,NISUIKI
17/04/1521,16/04/2000,NISUIKI
13/04/1522,12/04/2000,NISUIKI
19/04/1523,18/04/2000,SANETAKA-KOKI
18/04/1524,18/04/2000,SANETAKA-KOKI
14/04/1525,13/04/2000,NISUIKI
23/04/1526,22/04/2000,NISUIKI
15/04/1527,14/04/2000,NISUIKI
15/04/1528,15/04/2000,NISUIKI
17/04/1529,16/04/2000,SANETAKA-KOKI
17/04/1530,16/04/2000,NISUIKI
13/04/1531,12/04/2000,NISUIKI
17/04/1532,17/04/2000,SANETAKA-KOKI
21/04/1533,20/04/2000,OYUDONONO-UENO-NIKKI [EDA]
18/04/1534,17/04/2000,GONARAIN-GYOSEI-BASSHO
05/04/1535,04/04/2000,GONARAIN-SHINNKI
17/04/1536,17/04/2000,OYUDONONO-UENO-NIKKI [EDA]
18/04/1537,17/04/2000,OYUDONONO-UENO-NIKKI [EDA]
22/04/1538,21/04/2000,NINAGAWA-CHIKATOSHI-NIKKI
30/04/1539,29/04/2000,OYUDONONO-UENO-NIKKI [EDA]
01/05/1540,01/05/2000,OYUDONONO-UENO-NIKKI [EDA]
19/04/1541,18/04/2000,OYUDONONO-UENO-NIKKI [EDA]
12/04/1542,11/04/2000,TOKITSUGU-KYOKI
29/04/1543,28/04/2000,OYUDONONO-UENO-NIKKI [EDA]
16/04/1544,16/04/2000,TOKITSUGU-KYOKI
07/04/1545,06/04/2000,OYUDONONO-UENO-NIKKI [EDA]
22/04/1546,21/04/2000,TOKITSUGU-KYOKI
14/04/1547,13/04/2000,OYUDONONO-UENO-NIKKI [EDA]
27/04/1548,27/04/2000,TOKITSUGU-KYOKI
27/04/1549,26/04/2000,(SHIRYO-SORAN)
21/04/1550,20/04/2000,TOKITSUGU-KYOKI
19/04/1551,18/04/2000,OYUDONONO-UENO-NIKKI [EDA]
13/04/1552,13/04/2000,TOKITSUGU-KYOKI
29/04/1553,28/04/2000,OYUDONONO-UENO-NIKKI [EDA]
11/04/1555,10/04/2000,OYUDONONO-UENO-NIKKI
29/04/1556,29/04/2000,OYUDONONO-UENO-NIKKI [EDA]
03/04/1557,02/04/2000,TOKITSUGU-KYOKI
